com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:58:36,752 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:03:42,957 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:03:43,074 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:03:43,082 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:04:53,517 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:04:53,632 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:04:53,638 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:05:59,548 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:05:59,676 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 12:05:59,682 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:34:28,663 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:34:28,787 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:34:28,798 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:34:40,992 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:34:41,022 com.hrm.common.BaseTest.preCondition(BaseTest.java:111) implicit login 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:35:43,548 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:35:43,692 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:35:43,697 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:36:13,778 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:36:13,901 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:36:13,910 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
